Institutions,Synset('mental_hospital.n.01'),frame,1604
Institution,Synset('mental_hospital.n.01'),fe,8826
Domain,Synset('world.n.02'),fe,8827
Purpose,Synset('purpose.v.02'),fe,9585
Members,Synset('penis.n.01'),fe,9586
Place,Synset('topographic_point.n.01'),fe,13567
institution.n,Synset('mental_hospital.n.01'),lu,12614
institutional.a,Synset('institutional.a.02'),lu,12615
Provide_lodging,,frame,1916
Host,Synset('server.n.03'),fe,11508
Lodger,Synset('lodger.n.01'),fe,11509
Circumstances,Synset('context.n.02'),fe,11511
Time,Synset('time.v.05'),fe,11512
Place,Synset('topographic_point.n.01'),fe,11513
Purpose,Synset('purpose.v.02'),fe,11514
Explanation,Synset('explanation.n.01'),fe,11515
Manner,Synset('manner.n.03'),fe,11516
Means,Synset('means.n.01'),fe,11518
Residence,Synset('residency.n.01'),fe,11519
house.v,Synset('theater.n.01'),lu,14237
lodge.v,Synset('lodge.v.01'),lu,14238
host.v,Synset('server.n.03'),lu,14239
put up.v,,lu,14240
Heat_potential,,frame,2284
Insulator,Synset('insulator.n.01'),fe,13816
Activity,Synset('natural_process.n.01'),fe,13818
Circumstances,Synset('context.n.02'),fe,13819
Degree,Synset('degree.n.07'),fe,13820
Experiencer,,fe,13835
warm.a,Synset('warmly.r.02'),lu,15791
toasty.a,,lu,15792
Name_conferral,,frame,221
Entity,Synset('entity.n.01'),fe,1787
Name,Synset('name.v.03'),fe,1788
Speaker,Synset('speaker.n.03'),fe,1789
Instrument,Synset('legal_document.n.01'),fe,1852
Explanation,Synset('explanation.n.01'),fe,1853
Place,Synset('topographic_point.n.01'),fe,1854
Purpose,Synset('purpose.v.02'),fe,1855
Time,Synset('time.v.05'),fe,1856
Name_source,,fe,1857
Manner,Synset('manner.n.03'),fe,1871
Means,Synset('means.n.01'),fe,5319
nickname.v,Synset('nickname.n.02'),lu,3856
dub.v,Synset('dub.v.02'),lu,3858
christen.v,Synset('baptize.v.01'),lu,3859
name.v,Synset('name.v.03'),lu,3860
baptize.v,Synset('baptize.v.01'),lu,3864
rename.v,Synset('rename.v.01'),lu,14617
entitle.v,Synset('entitle.v.02'),lu,15346
call.v,Synset('visit.v.03'),lu,17566
Tolerating,Synset('tolerate.v.03'),frame,2131
Experiencer,,fe,13142
Content,Synset('message.n.02'),fe,13143
Explanation,Synset('explanation.n.01'),fe,13144
Degree,Synset('degree.n.07'),fe,13145
Manner,Synset('manner.n.03'),fe,13146
Parameter,Synset('parameter.n.04'),fe,13148
Topic,Synset('subject.n.01'),fe,13149
State,Synset('state.n.06'),fe,13150
Event,Synset('event.n.03'),fe,13151
Circumstances,Synset('context.n.02'),fe,13152
Time,Synset('time.v.05'),fe,13153
stand.v,Synset('stand.v.09'),lu,15322
endure.v,Synset('last.v.01'),lu,15323
tolerant.a,Synset('tolerant.s.05'),lu,15324
