Name,Syn,Type,ID
Institutions,Synset('institution.n.01'),frame,1604
Institution,Synset('institution.n.01'),fe,8826
Domain,Synset('domain.n.02'),fe,8827
Purpose,Synset('purpose.v.02'),fe,9585
Members,Synset('member.n.01'),fe,9586
Place,Synset('place.n.02'),fe,13567
institution.n,Synset('institution.n.01'),lu,12614
institutional.a,Synset('institutional.a.02'),lu,12615
Provide_lodging,Synset('provide.v.02'),frame,1916
Host,Synset('host.n.08'),fe,11508
Lodger,Synset('lodger.n.01'),fe,11509
Circumstances,Synset('circumstance.n.01'),fe,11511
Time,Synset('time.n.02'),fe,11512
Place,Synset('home.n.01'),fe,11513
Purpose,Synset('purpose.n.01'),fe,11514
Explanation,Synset('explanation.n.01'),fe,11515
Manner,Synset('manner.n.03'),fe,11516
Means,Synset('means.n.02'),fe,11518
Residence,Synset('residency.n.01'),fe,11519
house.v,Synset('house.v.02'),lu,14237
lodge.v,Synset('lodge.v.04'),lu,14238
host.v,Synset('host.v.01'),lu,14239
put up.v,None,lu,14240
Heat_potential, Synset('hotness.n.01'),frame,2284
Insulator,Synset('insulator.n.01'),fe,13816
Activity,Synset('activity.n.01'),fe,13818
Circumstances,Synset('context.n.02'),fe,13819
Degree,Synset('degree.n.01'),fe,13820
Experiencer,None,fe,13835
warm.a,Synset('warm.a.01'),lu,15791
toasty.a,None,lu,15792
Name_conferral,Synset('bestowal.n.01'),frame,221
Entity,Synset('entity.n.01'),fe,1787
Name,Synset('name.v.01'),fe,1788
Speaker,Synset('speaker.n.01'),fe,1789
Instrument,Synset('instrumental_role.n.01'),fe,1852
Explanation,Synset('explanation.n.01'),fe,1853
Place,Synset('place.n.02'),fe,1854
Purpose,Synset('aim.v.02'),fe,1855
Time,Synset('time.v.05'),fe,1856
Name_source,Synset('name.v.01'),fe,1857
Manner,Synset('manner.n.01'),fe,1871
Means,Synset('means.n.01'),fe,5319
nickname.v,Synset('dub.v.01'),lu,3856
dub.v,Synset('dub.v.01'),lu,3858
christen.v,Synset('baptize.v.01'),lu,3859
name.v,Synset('name.v.02'),lu,3860
baptize.v,Synset('baptize.v.01'),lu,3864
rename.v,Synset('rename.v.01'),lu,14617
entitle.v,Synset('entitle.v.02'),lu,15346
call.v,Synset('name.v.01'),lu,17566
Tolerating,Synset('digest.v.03'),frame,2131
Experiencer,None,fe,13142
Content,Synset('content.n.01'),fe,13143
Explanation,Synset('explanation.n.01'),fe,13144
Degree,Synset('degree.n.01'),fe,13145
Manner,Synset('manner.n.01'),fe,13146
Parameter,Synset('parameter.n.01'),fe,13148
Topic,Synset('subject.n.01'),fe,13149
State,Synset('state.n.02'),fe,13150
Event,Synset('event.n.03'),fe,13151
Circumstances,Synset('context.n.02'),fe,13152
Time,Synset('time.v.05'),fe,13153
stand.v,Synset('digest.v.03'),lu,15322
endure.v,Synset('digest.v.03'),lu,15323
tolerant.a,Synset('tolerant.a.01'),lu,15324
bear.v,Synset('digest.v.03'),lu,15325
toleration.n,Synset('toleration.n.01'),lu,15326
tolerate.v,Synset('tolerate.v.03'),lu,15327
Mental_stimulus_stimulus_focus,Synset('stimulation.n.02'),frame,2046
Experiencer,None,fe,12437
Stimulus,Synset('stimulation.n.02'),fe,12439
Degree,Synset('degree.n.01'),fe,12440
Empathy_target,Synset('target.n.05'),fe,12441
Explanation,Synset('explanation.n.01'),fe,12443
Circumstances,Synset('circumstances.n.01'),fe,12444
Parameter,Synset('parameter.n.04'),fe,12447
Manner,Synset('manner.n.01'),fe,12448
Time,Synset('time.n.06'),fe,12470
Frequency,Synset('frequency.n.01'),fe,12538
interesting.a,Synset('interest.v.01'),lu,14920
fascinating.a,Synset('intrigue.v.01'),lu,14921
enthralling.a,Synset('bewitching.s.01'),lu,14922
captivating.a,Synset('bewitching.s.01'),lu,14923
absorbing.a,Synset('absorb.v.09'),lu,14924
engrossing.a,Synset('steep.v.01'),lu,14925
Seeking,Synset('search.v.01'),frame,269
Cognizer_agent,Synset('agent.n.05'),fe,2327
Ground,Synset('footing.n.02'),fe,2328
Sought_entity,Synset('entity.n.01'),fe,2329
Manner,Synset('manner.n.01'),fe,2330
Means,Synset('means.n.02'),fe,2332
Outcome,Synset('consequence.n.01'),fe,2334
Place,Synset('topographic_point.n.01'),fe,5402
Time,Synset('time.v.01'),fe,5403
Purpose,Synset('purpose.v.01'),fe,5404
Degree,Synset('academic_degree.n.01'),fe,12108
sniff.v,Synset('sniff.v.02'),lu,4898
listen.v,Synset('listen.v.02'),lu,4899
watch.v,Synset('watch.v.01'),lu,4900
grope.v,Synset('grope.v.02'),lu,4902
fumble.v,Synset('fumble.v.03'),lu,4903
feel.v,Synset('tactile_property.n.01'),lu,4904
forage.v,Synset('scrounge.v.01'),lu,4905
hunt.v,Synset('hunt.v.06'),lu,4906
nose.v,Synset('nozzle.n.05'),lu,4907
pan.v,Synset('pan.v.02'),lu,4912
pat down.v,None,lu,4913
seek.v,Synset('search.v.01'),lu,4915
palpate.v,Synset('palpate.v.01'),lu,4917
manhunt.n,Synset('manhunt.n.01'),lu,17046
dig.v,Synset('dig.n.01'),lu,17682
Location_on_path,Synset('placement.n.03'),frame,2940
Ground,Synset('land.n.04'),fe,16450
Figure,Synset('trope.n.01'),fe,16451
Distance,Synset('distance.v.01'),fe,16452
Direction,Synset('steering.n.02'),fe,16453
Time,Synset('time.v.05'),fe,16454
Figures,Synset('figure.n.06'),fe,16455
Deixis,Synset('deixis.n.01'),fe,16456
Accessibility,Synset('handiness.n.02'),fe,16457
Directness,Synset('directness.n.01'),fe,16458
Temporal_profile,Synset('profile.n.01'),fe,16459
Region_quantification,Synset('quantification.n.01'),fe,16460
Profiled_region,Synset('region.n.01'),fe,16461
Price_per_unit,Synset('price.n.05'),frame,2430
Product,Synset('product.n.05'),fe,14230
Price,Synset('monetary_value.n.01'),fe,14231
Seller,Synset('seller.n.01'),fe,14232
Buyer,Synset('buyer.n.01'),fe,14233
Descriptor,Synset('descriptor.n.02'),fe,14241
rate.n,Synset('rate.v.03'),lu,16121
Aging,Synset('senesce.v.01'),frame,1919
Entity,Synset('entity.n.01'),fe,11542
Time,Synset('clock.v.01'),fe,11546
Circumstances,Synset('context.n.02'),fe,11547
Manner,Synset('manner.n.01'),fe,11551
Place,Synset('place.n.10'),fe,11552
Result,Synset('consequence.n.01'),fe,11904
aging.a,Synset('senesce.v.01'),lu,14250
age.v,Synset('senesce.v.01'),lu,14252
mature.v,Synset('suppurate.v.01'),lu,15349
